,layer,position,iia
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.56
4,0,4,0.1
5,0,5,0.06
6,0,6,0.02
7,0,7,0.04
8,0,8,0.26
9,0,9,0.02
10,0,10,0.0
11,0,11,0.02
12,0,12,0.18
13,0,13,0.04
14,0,14,0.02
15,0,15,0.02
16,0,16,0.02
17,0,17,0.1
18,0,18,0.02
19,0,19,0.0
20,0,20,0.0
21,0,21,0.08
22,0,22,0.02
23,0,23,0.02
24,0,24,0.02
25,0,25,0.02
26,0,26,0.0
27,0,27,0.06
28,0,28,0.02
29,0,29,0.0
30,0,30,0.0
31,0,31,0.0
32,0,32,0.24
33,0,33,0.02
34,0,34,0.08
35,0,35,0.0
36,0,36,0.0
37,0,37,0.04
38,0,38,0.0
39,0,39,0.0
40,0,40,0.0
41,0,41,0.4
42,0,42,0.02
43,0,43,0.02
44,0,44,0.0
45,0,45,0.02
46,1,0,0.0
47,1,1,0.0
48,1,2,0.0
49,1,3,0.2
50,1,4,0.18
51,1,5,0.1
52,1,6,0.02
53,1,7,0.04
54,1,8,0.28
55,1,9,0.06
56,1,10,0.0
57,1,11,0.02
58,1,12,0.08
59,1,13,0.06
60,1,14,0.04
61,1,15,0.04
62,1,16,0.02
63,1,17,0.18
64,1,18,0.02
65,1,19,0.02
66,1,20,0.02
67,1,21,0.12
68,1,22,0.02
69,1,23,0.0
70,1,24,0.02
71,1,25,0.0
72,1,26,0.02
73,1,27,0.04
74,1,28,0.02
75,1,29,0.0
76,1,30,0.0
77,1,31,0.0
78,1,32,0.24
79,1,33,0.04
80,1,34,0.14
81,1,35,0.02
82,1,36,0.0
83,1,37,0.06
84,1,38,0.0
85,1,39,0.0
86,1,40,0.02
87,1,41,0.6
88,1,42,0.12
89,1,43,0.08
90,1,44,0.02
91,1,45,0.02
92,2,0,0.0
93,2,1,0.0
94,2,2,0.0
95,2,3,0.52
96,2,4,0.2
97,2,5,0.1
98,2,6,0.06
99,2,7,0.02
100,2,8,0.28
101,2,9,0.12
102,2,10,0.0
103,2,11,0.02
104,2,12,0.36
105,2,13,0.1
106,2,14,0.04
107,2,15,0.04
108,2,16,0.02
109,2,17,0.18
110,2,18,0.02
111,2,19,0.02
