,layer,position,acc,f1
0,0,0,0.5,0.2222222222222222
1,0,1,0.5,0.2222222222222222
2,0,2,0.5,0.2222222222222222
3,0,3,0.65,0.5310565870910698
4,0,4,0.62,0.4906004489337823
5,0,5,0.6,0.445329204453292
6,0,6,0.5,0.2222222222222222
7,0,7,0.5,0.2222222222222222
8,0,8,0.62,0.4906004489337823
9,0,9,0.5,0.2222222222222222
10,0,10,0.5,0.2222222222222222
11,0,11,0.5,0.2222222222222222
12,0,12,0.77,0.6940196078431372
13,0,13,0.53,0.33774270905855963
14,0,14,0.53,0.3472330138996806
15,0,15,0.5,0.2222222222222222
16,0,16,0.5,0.2222222222222222
17,0,17,0.55,0.37499078374990785
18,0,18,0.48,0.21621621621621623
19,0,19,0.48,0.21621621621621623
20,0,20,0.5,0.2222222222222222
21,0,21,0.69,0.6615981332962465
22,0,22,0.49,0.2997861829978618
23,0,23,0.51,0.2978502978502979
24,0,24,0.52,0.33725227610119696
25,0,25,0.5,0.2237136465324385
26,0,26,0.5,0.22522522522522523
27,0,27,0.51,0.338235294117647
28,0,28,0.48,0.2191780821917808
29,0,29,0.5,0.2222222222222222
30,0,30,0.5,0.2222222222222222
31,0,31,0.5,0.2222222222222222
32,0,32,0.5,0.39826035677428867
33,0,33,0.5,0.3029297954671089
34,0,34,0.49,0.3298611111111111
35,0,35,0.5,0.2222222222222222
36,0,36,0.51,0.2557428768608893
37,0,37,0.5,0.2519540229885057
38,0,38,0.5,0.27292736610418195
39,0,39,0.5,0.22675736961451246
40,0,40,0.5,0.2222222222222222
41,0,41,0.63,0.5739324554655565
42,0,42,0.55,0.3473350351976483
43,0,43,0.54,0.3394216133942161
44,0,44,0.54,0.3394216133942161
45,0,45,0.54,0.3394216133942161
46,1,0,0.5,0.2222222222222222
47,1,1,0.5,0.2222222222222222
48,1,2,0.5,0.2222222222222222
49,1,3,0.65,0.5310565870910698
50,1,4,0.64,0.5212774470264389
51,1,5,0.64,0.5212774470264389
52,1,6,0.6,0.445329204453292
53,1,7,0.5,0.2222222222222222
54,1,8,0.64,0.5212774470264389
55,1,9,0.6,0.445329204453292
56,1,10,0.62,0.47570429192664027
57,1,11,0.5,0.2222222222222222
58,1,12,0.81,0.7465652927837801
59,1,13,0.68,0.561843575049738
60,1,14,0.57,0.4106275303643725
61,1,15,0.54,0.3461538461538462
62,1,16,0.53,0.33774270905855963
63,1,17,0.62,0.4798230866303002
64,1,18,0.51,0.25552825552825553
65,1,19,0.55,0.3732179912145956
66,1,20,0.53,0.3322751322751323
67,1,21,0.85,0.8276311502117953
68,1,22,0.5,0.356060606060606
69,1,23,0.52,0.35458028561476834
70,1,24,0.53,0.35730524093695454
71,1,25,0.56,0.3952684742158426
72,1,26,0.5,0.27297116029510393
73,1,27,0.52,0.34866575324590593
74,1,28,0.52,0.3297205632972056
75,1,29,0.5,0.2237136465324385
