,layer,position,acc,f1
75,1,29,0.61,0.41967422548706484
76,1,30,0.62,0.40978524743230627
77,1,31,0.71,0.48406546080964685
78,1,32,0.94,0.6453900709219859
79,1,33,0.94,0.6453900709219859
80,1,34,0.94,0.6453900709219859
81,1,35,0.94,0.6453900709219859
82,1,36,0.94,0.6453900709219859
83,1,37,0.7,0.4812925170068027
84,1,38,0.86,0.5912698412698413
85,1,39,0.67,0.4584089050108468
86,1,40,0.82,0.5643648763853367
87,1,41,0.74,0.5092592592592592
88,1,42,0.69,0.4737196526670211
89,1,43,0.58,0.3983843537414966
90,1,44,0.76,0.5230179028132992
91,1,45,0.75,0.5143546612725789
92,2,0,0.5,0.2222222222222222
93,2,1,0.5,0.2222222222222222
94,2,2,0.5,0.2222222222222222
95,2,3,0.61,0.41443764099258784
96,2,4,0.61,0.41443764099258784
97,2,5,0.61,0.41443764099258784
98,2,6,0.61,0.41443764099258784
99,2,7,0.61,0.41443764099258784
100,2,8,0.61,0.41443764099258784
101,2,9,0.63,0.43331561226298065
102,2,10,0.63,0.43331561226298065
103,2,11,0.63,0.43331561226298065
104,2,12,0.69,0.7743970889946968
105,2,13,0.69,0.7727077727077726
106,2,14,0.69,0.62995337995338
107,2,15,0.65,0.4465811965811966
108,2,16,0.66,0.452991452991453
109,2,17,0.65,0.44621655147970934
110,2,18,0.63,0.4323671497584541
111,2,19,0.65,0.4467353951890034
112,2,20,0.66,0.45337301587301587
113,2,21,0.98,0.926797385620915
114,2,22,0.92,0.6342233706574792
115,2,23,0.92,0.6342233706574792
116,2,24,0.84,0.5759005145797599
117,2,25,0.85,0.5820471307789171
118,2,26,0.84,0.5747474747474747
119,2,27,0.87,0.5968967362225789
120,2,28,0.83,0.5676141257536607
121,2,29,0.84,0.5759005145797599
122,2,30,0.76,0.517240131697963
123,2,31,0.8,0.5448830409356725
124,2,32,0.93,0.6387382597908914
125,2,33,0.94,0.6453900709219859
126,2,34,0.94,0.6453900709219859
127,2,35,0.94,0.6453900709219859
128,2,36,0.94,0.6453900709219859
129,2,37,0.86,0.5912698412698413
130,2,38,0.88,0.604591836734694
131,2,39,0.9,0.6187641723356009
132,2,40,0.91,0.6254295532646048
133,2,41,0.88,0.6968151561699948
134,2,42,0.87,0.5983342193868509
135,2,43,0.8,0.5505825518613242
136,2,44,0.87,0.5983342193868509
137,2,45,0.87,0.5979381443298969
138,3,0,0.5,0.2222222222222222
139,3,1,0.5,0.2222222222222222
140,3,2,0.5,0.2222222222222222
141,3,3,0.61,0.41443764099258784
142,3,4,0.61,0.41443764099258784
143,3,5,0.61,0.41443764099258784
144,3,6,0.61,0.41443764099258784
145,3,7,0.61,0.41443764099258784
146,3,8,0.61,0.41443764099258784
147,3,9,0.61,0.41443764099258784
148,3,10,0.63,0.43331561226298065
149,3,11,0.61,0.41443764099258784
150,3,12,0.65,0.7469328102765278
151,3,13,0.71,0.7348435814455231
152,3,14,0.67,0.45996810207336525
153,3,15,0.69,0.7743970889946968
154,3,16,0.67,0.4584089050108468
155,3,17,0.65,0.4467353951890034
156,3,18,0.67,0.45996810207336525
157,3,19,0.68,0.4665248226950354
158,3,20,0.73,0.8067390062821245
159,3,21,0.97,0.9196870248822635
160,3,22,0.94,0.6477987421383647
161,3,23,0.85,0.582590324775307
162,3,24,0.76,0.5225340136054422
163,3,25,0.91,0.6249867091972355
164,3,26,0.86,0.5916889602282861
165,3,27,0.82,0.5623244069846011
166,3,28,0.78,0.5358560090702947
167,3,29,0.84,0.5761229062199936
168,3,30,0.81,0.5549983996585938
169,3,31,0.92,0.6316312056737589
170,3,32,0.93,0.6387382597908914
171,3,33,0.9,0.6183390022675738
172,3,34,0.94,0.6453900709219859
173,3,35,0.9,0.6183390022675738
174,3,36,0.91,0.6249867091972355
175,3,37,0.82,0.5633503401360543
176,3,38,0.83,0.569980506822612
177,3,39,0.89,0.6120857699805068
178,3,40,0.87,0.5983342193868509
179,3,41,0.81,0.638659793814433
180,3,42,0.82,0.5633503401360543
181,3,43,0.76,0.5215602836879433
182,3,44,0.81,0.6367677538998582
183,3,45,0.85,0.5832002555094219
184,4,0,0.5,0.2222222222222222
185,4,1,0.5,0.2222222222222222
186,4,2,0.5,0.2222222222222222
187,4,3,0.61,0.41443764099258784
188,4,4,0.61,0.41443764099258784
189,4,5,0.61,0.41443764099258784
190,4,6,0.61,0.41443764099258784
191,4,7,0.61,0.41443764099258784
192,4,8,0.61,0.41443764099258784
193,4,9,0.61,0.41443764099258784
194,4,10,0.61,0.41443764099258784
195,4,11,0.61,0.41443764099258784
196,4,12,0.7,0.7863636363636363
197,4,13,0.67,0.7027296409559408
198,4,14,0.67,0.4584089050108468
199,4,15,0.69,0.7743970889946968
200,4,16,0.72,0.7737911971373249
201,4,17,0.64,0.4400510204081633
202,4,18,0.67,0.4584089050108468
203,4,19,0.63,0.42676740420939013
204,4,20,0.69,0.7743970889946968
205,4,21,0.97,0.9196870248822635
206,4,22,0.94,0.6477987421383647
207,4,23,0.85,0.5827635327635328
208,4,24,0.78,0.5358560090702947
209,4,25,0.97,0.9192592592592593
210,4,26,0.92,0.7247719600660777
211,4,27,0.82,0.5623244069846011
212,4,28,0.8,0.5490780141843972
213,4,29,0.81,0.553371289433165
214,4,30,0.8,0.5477207977207977
215,4,31,0.97,0.9192592592592593
216,4,32,0.94,0.7372611627930777
217,4,33,0.9,0.6183390022675738
218,4,34,0.91,0.623990895835556
219,4,35,0.88,0.6875
220,4,36,0.92,0.6320861678004536
221,4,37,0.83,0.6621125131763429
222,4,38,0.84,0.5765957446808511
223,4,39,0.81,0.5562289562289563
224,4,40,0.88,0.6053900709219858
225,4,41,0.8,0.6809101654846336
226,4,42,0.85,0.5849036516554881
227,4,43,0.73,0.5005855424252103
228,4,44,0.79,0.781047265987025
229,4,45,0.87,0.6798359943521234
230,5,0,0.5,0.2222222222222222
231,5,1,0.5,0.2222222222222222
232,5,2,0.5,0.2222222222222222
233,5,3,0.61,0.41443764099258784
234,5,4,0.61,0.41443764099258784
235,5,5,0.61,0.41443764099258784
236,5,6,0.61,0.41443764099258784
237,5,7,0.61,0.41443764099258784
238,5,8,0.61,0.41443764099258784
239,5,9,0.61,0.41443764099258784
240,5,10,0.61,0.41443764099258784
241,5,11,0.61,0.41443764099258784
242,5,12,0.7,0.7863636363636363
243,5,13,0.73,0.8067390062821245
244,5,14,0.69,0.6298498236427766
245,5,15,0.7,0.7863636363636363
246,5,16,0.69,0.7743970889946968
247,5,17,0.63,0.42676740420939013
248,5,18,0.63,0.42676740420939013
249,5,19,0.63,0.42676740420939013
250,5,20,0.7,0.7863636363636363
251,5,21,0.97,0.9196870248822635
252,5,22,0.98,0.926797385620915
253,5,23,0.89,0.6113960113960114
254,5,24,0.8,0.7079895788102476
255,5,25,0.93,0.8911111111111111
256,5,26,0.94,0.8058426721793058
257,5,27,0.87,0.5974468085106382
258,5,28,0.84,0.5765995954434153
259,5,29,0.8,0.5468839336763865
260,5,30,0.82,0.5622335890878091
261,5,31,0.94,0.8981050914080173
262,5,32,0.92,0.7083882301273605
263,5,33,0.91,0.7080257634968881
264,5,34,0.89,0.6107384932041592
265,5,35,0.89,0.7557375317849105
266,5,36,0.91,0.7167203723594701
267,5,37,0.88,0.6053900709219858
268,5,38,0.88,0.6953241908041736
269,5,39,0.8,0.5490780141843972
270,5,40,0.87,0.689079842463301
271,5,41,0.85,0.7274610136452241
272,5,42,0.84,0.5801832760595648
273,5,43,0.76,0.5208866155157715
274,5,44,0.81,0.796279537456008
275,5,45,0.84,0.658695652173913
