,layer,position,iia
279,6,3,0.0
280,6,4,0.0
281,6,5,0.0
282,6,6,0.02
283,6,7,0.0
284,6,8,0.3
285,6,9,0.0
286,6,10,0.0
287,6,11,0.02
288,6,12,0.1
289,6,13,0.0
290,6,14,0.0
291,6,15,0.06
292,6,16,0.06
293,6,17,0.2
294,6,18,0.0
295,6,19,0.02
296,6,20,0.0
297,6,21,0.06
298,6,22,0.06
299,6,23,0.02
300,6,24,0.04
301,6,25,0.0
302,6,26,0.18
303,6,27,0.08
304,6,28,0.0
305,6,29,0.02
306,6,30,0.02
307,6,31,0.02
308,6,32,0.16
309,6,33,0.06
310,6,34,0.02
311,6,35,0.02
312,6,36,0.08
313,6,37,0.3
314,6,38,0.02
315,6,39,0.02
316,6,40,0.0
317,6,41,0.32
318,6,42,0.54
319,6,43,0.2
320,6,44,0.7
321,6,45,1.0
322,7,0,0.0
323,7,1,0.0
324,7,2,0.0
325,7,3,0.04
326,7,4,0.0
327,7,5,0.0
328,7,6,0.02
329,7,7,0.0
330,7,8,0.08
331,7,9,0.0
332,7,10,0.0
333,7,11,0.02
334,7,12,0.08
335,7,13,0.02
336,7,14,0.0
337,7,15,0.0
338,7,16,0.02
339,7,17,0.02
340,7,18,0.0
341,7,19,0.0
342,7,20,0.0
343,7,21,0.16
344,7,22,0.06
345,7,23,0.0
346,7,24,0.0
347,7,25,0.04
348,7,26,0.26
349,7,27,0.0
350,7,28,0.0
351,7,29,0.0
352,7,30,0.0
353,7,31,0.0
354,7,32,0.08
355,7,33,0.04
356,7,34,0.02
357,7,35,0.04
358,7,36,0.04
359,7,37,0.02
360,7,38,0.02
361,7,39,0.0
362,7,40,0.0
363,7,41,0.3
364,7,42,0.2
365,7,43,0.02
366,7,44,0.64
367,7,45,1.0
368,8,0,0.0
369,8,1,0.0
370,8,2,0.0
371,8,3,0.06
372,8,4,0.0
373,8,5,0.0
374,8,6,0.2
375,8,7,0.0
376,8,8,0.02
377,8,9,0.0
378,8,10,0.0
379,8,11,0.0
380,8,12,0.04
381,8,13,0.0
382,8,14,0.0
383,8,15,0.0
384,8,16,0.0
385,8,17,0.08
386,8,18,0.0
387,8,19,0.0
388,8,20,0.0
389,8,21,0.0
390,8,22,0.02
391,8,23,0.0
392,8,24,0.0
393,8,25,0.04
394,8,26,0.28
395,8,27,0.02
396,8,28,0.02
397,8,29,0.0
398,8,30,0.0
399,8,31,0.02
400,8,32,0.0
401,8,33,0.04
402,8,34,0.02
403,8,35,0.06
404,8,36,0.04
405,8,37,0.18
406,8,38,0.02
407,8,39,0.0
408,8,40,0.02
409,8,41,0.04
410,8,42,0.18
411,8,43,0.02
412,8,44,0.68
413,8,45,1.0
414,9,0,0.0
415,9,1,0.0
416,9,2,0.0
417,9,3,0.04
418,9,4,0.0
419,9,5,0.0
420,9,6,0.0
421,9,7,0.0
422,9,8,0.02
423,9,9,0.0
424,9,10,0.0
425,9,11,0.0
426,9,12,0.04
427,9,13,0.02
428,9,14,0.0
429,9,15,0.0
430,9,16,0.1
431,9,17,0.04
432,9,18,0.0
433,9,19,0.0
434,9,20,0.0
435,9,21,0.18
436,9,22,0.22
437,9,23,0.0
438,9,24,0.0
439,9,25,0.04
440,9,26,0.28
441,9,27,0.0
442,9,28,0.06
443,9,29,0.0
444,9,30,0.0
445,9,31,0.02
446,9,32,0.0
447,9,33,0.0
448,9,34,0.02
449,9,35,0.06
450,9,36,0.06
451,9,37,0.02
452,9,38,0.0
453,9,39,0.0
454,9,40,0.02
455,9,41,0.08
456,9,42,0.34
457,9,43,0.0
458,9,44,0.3
459,9,45,1.0
460,10,0,0.0
461,10,1,0.0
462,10,2,0.0
463,10,3,0.18
464,10,4,0.0
465,10,5,0.0
466,10,6,0.0
467,10,7,0.0
468,10,8,0.0
469,10,9,0.0
470,10,10,0.0
471,10,11,0.0
472,10,12,0.06
473,10,13,0.0
474,10,14,0.0
475,10,15,0.0
476,10,16,0.06
477,10,17,0.0
478,10,18,0.0
479,10,19,0.0
480,10,20,0.0
481,10,21,0.02
482,10,22,0.02
483,10,23,0.0
484,10,24,0.0
485,10,25,0.0
486,10,26,0.0
487,10,27,0.0
488,10,28,0.0
489,10,29,0.0
490,10,30,0.0
491,10,31,0.0
492,10,32,0.0
493,10,33,0.0
494,10,34,0.0
495,10,35,0.0
496,10,36,0.04
497,10,37,0.0
498,10,38,0.0
499,10,39,0.0
500,10,40,0.0
501,10,41,0.0
502,10,42,0.0
503,10,43,0.0
504,10,44,0.34
505,10,45,1.0
506,11,0,0.0
507,11,1,0.0
508,11,2,0.0
509,11,3,0.0
510,11,4,0.0
511,11,5,0.0
512,11,6,0.0
513,11,7,0.0
514,11,8,0.0
515,11,9,0.0
516,11,10,0.0
517,11,11,0.0
518,11,12,0.0
